title,description,priority,status,date_of_creation,date_of_resolution,user,country
Incident 1,Description 1,Low,Open,27-09-2024,,mj1737@gmail.com,India
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,mj1737@gmail.com,India
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,mj1737@gmail.com,India
Incident 4,Description 4,Low,Open,29-09-2024,,mj1737@gmail.com,India
Incident 5,Description 5,Medium,In-Progress,29-09-2024,,mj1737@gmail.com,India
Incident 6,Description 6,Resolved,Resolved,01-10-2024,29-09-2024,mj1737@gmail.com,India
Incident 7,Description 7,Medium,In-Progress,02-10-2024,,mj1737@gmail.com,India
Incident 8,Description 8,Resolved,Resolved,04-10-2024,04-10-2024,mj1737@gmail.com,India
Incident 1,Description 1,Low,Open,27-09-2024,,chaitsi@brownliving.in,Spain
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,chaitsi@brownliving.in,Spain
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,chaitsi@brownliving.in,Spain
Incident 4,Description 4,Low,Open,29-09-2024,,chaitsi@brownliving.in,Spain
Incident 6,Description 6,Resolved,Resolved,29-09-2024,29-09-2024,saurabh@progrowthpeople.com,Nepal
Incident 7,Description 7,Medium,In-Progress,01-10-2024,,saurabh@progrowthpeople.com,Nepal
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,saurabh@progrowthpeople.com,Nepal
Incident 7,Description 7,Medium,In-Progress,01-10-2024,,pallavi@progrowthpeople.com,Myanmar
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,pallavi@progrowthpeople.com,Myanmar
Incident 1,Description 1,Low,Open,27-09-2024,,pallavi@progrowthpeople.com,Myanmar
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,pallavi@progrowthpeople.com,Myanmar
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,pallavi@progrowthpeople.com,Myanmar
Incident 4,Description 4,Low,Open,29-09-2024,,pallavi@progrowthpeople.com,Myanmar
Incident 6,Description 6,Resolved,Resolved,29-09-2024,29-09-2024,pallavi@progrowthpeople.com,Myanmar
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,varun@brownliving.in,France
Incident 1,Description 1,Low,Open,27-09-2024,,varun@brownliving.in,France
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,varun@brownliving.in,France
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,varun@brownliving.in,France
Incident 4,Description 4,Low,Open,29-09-2024,,varun@brownliving.in,France
Incident 6,Description 6,Resolved,Resolved,29-09-2024,29-09-2024,varun@brownliving.in,France
Incident 7,Description 7,Medium,In-Progress,01-10-2024,,varun@brownliving.in,France
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,varun@brownliving.in,France
Incident 7,Description 7,Medium,In-Progress,01-10-2024,,varun@brownliving.in,France
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,varun@brownliving.in,France
Incident 1,Description 1,Low,Open,27-09-2024,,varun@brownliving.in,France
Incident 1,Description 1,Low,Open,27-09-2024,,zashank@brownliving.in,Germany
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,zashank@brownliving.in,Germany
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,zashank@brownliving.in,Germany
Incident 4,Description 4,Low,Open,29-09-2024,,zashank@brownliving.in,Germany
Incident 6,Description 6,Resolved,Resolved,29-09-2024,29-09-2024,zashank@brownliving.in,Germany
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,zashank@brownliving.in,Germany
Incident 1,Description 1,Low,Open,27-09-2024,,zashank@brownliving.in,Germany
Incident 2,Description 2,Medium,In-Progress,28-09-2024,,zashank@brownliving.in,Germany
Incident 3,Description 3,Resolved,Resolved,27-09-2024,29-09-2024,zashank@brownliving.in,Germany
Incident 4,Description 4,Low,Open,29-09-2024,,zashank@brownliving.in,Germany
Incident 6,Description 6,Resolved,Resolved,29-09-2024,29-09-2024,zashank@brownliving.in,Germany
Incident 7,Description 7,Medium,In-Progress,01-10-2024,,zashank@brownliving.in,Germany
Incident 8,Description 8,Resolved,Resolved,02-10-2024,04-10-2024,zashank@brownliving.in,Germany
